#Top: cms_pix_28_fw_top_bd_wrapper   Floorplan: impl_1   Part: xczu9eg-ffvb1156-2-e
#Generated by: gingu   on: Wed Nov  6 13:44:42 2024
#Build: Vivado v2022.1   by: xbuild   on: Mon Apr 18 15:47:01 MDT 2022
#Package Version: PRODUCTION 1.1 3/3/2017
#Package Pin Delay Version: PRODUCTION 1.0 7/24/2015

#The following package pin(s) are connected to master PCIE reset pins, and #    should be tied off to a 1.8V standard - 
IO Bank,Pin Number,Site,Site Type,Min Trace Delay (ps),Max Trace Delay (ps),Prohibit,Interface,Signal Name,Direction,DiffPair Type,DiffPair Signal,IO Standard,Drive (mA),Slew Rate,OUTPUT_IMPEDANCE,PRE_EMPHASIS,LVDS_PRE_EMPHASIS,EQUALIZATION,Pull Type,DQS_BIAS,DIFF_TERM,OFFCHIP_TERM,Board Signal,Board Voltage,ODT
67,T11,IOB_X1Y167,IO_L6N_T0U_N11_AD6N_67,94.860,95.813,,DATA.SCAN_OUT_N_23558,scan_out_n[0],IN,N,scan_out_p[0],LVDS,,,,,,,,,,,,,
67,U11,IOB_X1Y166,IO_L6P_T0U_N10_AD6P_67,91.515,92.434,,DATA.SCAN_OUT_N_23558,scan_out_p[0],IN,P,scan_out_n[0],LVDS,,,,,,,,,,,,,
67,K16,IOB_X1Y196,IO_L19N_T3L_N1_DBC_AD9N_67,116.885,118.059,,DATA.CONFIG_CLK_N_23558,config_clk_n[0],OUT,N,config_clk_p[0],LVDS,,,,,,,,,,FD_100,,,
67,L16,IOB_X1Y195,IO_L19P_T3L_N0_DBC_AD9P_67,115.657,116.819,,DATA.CONFIG_CLK_N_23558,config_clk_p[0],OUT,P,config_clk_n[0],LVDS,,,,,,,,,,FD_100,,,
67,L11,IOB_X1Y191,IO_L17N_T2U_N9_AD10N_67,124.873,126.128,,DATA.CONFIG_IN_N_23558,config_in_n[0],OUT,N,config_in_p[0],LVDS,,,,,,,,,,FD_100,,,
67,M11,IOB_X1Y190,IO_L17P_T2U_N8_AD10P_67,126.175,127.443,,DATA.CONFIG_IN_N_23558,config_in_p[0],OUT,P,config_in_n[0],LVDS,,,,,,,,,,FD_100,,,
67,K15,IOB_X1Y206,IO_L24N_T3U_N11_67,111.364,112.483,,DATA.CONFIG_LOAD_N_23558,config_load_n[0],OUT,N,config_load_p[0],LVDS,,,,,,,,,,FD_100,,,
67,L15,IOB_X1Y205,IO_L24P_T3U_N10_67,99.526,100.526,,DATA.CONFIG_LOAD_N_23558,config_load_p[0],OUT,P,config_load_n[0],LVDS,,,,,,,,,,FD_100,,,
67,V11,IOB_X1Y165,IO_L5N_T0U_N9_AD14N_67,102.061,103.086,,DATA.CONFIG_OUT_N_23558,config_out_n[0],IN,N,config_out_p[0],LVDS,,,,,,,,,,,,,
67,V12,IOB_X1Y164,IO_L5P_T0U_N8_AD14P_67,103.892,104.936,,DATA.CONFIG_OUT_N_23558,config_out_p[0],IN,P,config_out_n[0],LVDS,,,,,,,,,,,,,
67,V6,IOB_X1Y171,IO_L8P_T1L_N2_AD5P_67,83.010,83.845,,DATA.DNN_OUT_0_P_23558,dnn_out_0_p[0],IN,P,dnn_out_0_n[0],LVDS,,,,,,,,,,,,,
67,U6,IOB_X1Y172,IO_L8N_T1L_N3_AD5N_67,82.607,83.437,,DATA.DNN_OUT_0_P_23558,dnn_out_0_n[0],IN,N,dnn_out_0_p[0],LVDS,,,,,,,,,,,,,
67,N12,IOB_X1Y200,IO_L21N_T3L_N5_AD8N_67,95.286,96.243,,DATA.VIN_TEST_TRIG_OUT_N_23558,vin_test_trig_out_n[0],OUT,N,vin_test_trig_out_p[0],LVDS,,,,,,,,,,FD_100,,,
67,P12,IOB_X1Y199,IO_L21P_T3L_N4_AD8P_67,95.329,96.287,,DATA.VIN_TEST_TRIG_OUT_N_23558,vin_test_trig_out_p[0],OUT,P,vin_test_trig_out_n[0],LVDS,,,,,,,,,,FD_100,,,
67,T6,IOB_X1Y176,IO_L10N_T1U_N7_QBC_AD4N_67,83.654,84.495,,DATA.BXCLK_N_23558,bxclk_n[0],OUT,N,bxclk_p[0],LVDS,,,,,,,,,,FD_100,,,
67,T7,IOB_X1Y175,IO_L10P_T1U_N6_QBC_AD4P_67,84.665,85.516,,DATA.BXCLK_N_23558,bxclk_p[0],OUT,P,bxclk_n[0],LVDS,,,,,,,,,,FD_100,,,
